name,Location,Website,Founded,Employees,Industries,Business.model,Funding.state,description,SDG_01,SDG_02,SDG_03,SDG_04,SDG_05,SDG_06,SDG_07,SDG_08,SDG_09,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17
Brandiaq,Denmark,brandiaq.com,2016,1-10,"Education, Service, Telecommunications, Advertising, Sales & Marketing","B2B, B2G",Series A,"Brandiaq is a strategic branding consultancy and design studio based in Copenhagen. We exist to create strategy-driven, sustainable brands and experiences that move people. We do this by combining deep research with brand strategy and beautiful, problem-solving design solutions.

As brand experts and advisors, we are in a unique position to guide and influence both brands and their audiences alike; therefore, we make sustainability our core value and responsibility, and we tailor our design solutions with those principles in mind and in practice.

Our role as a branding agency is to create, plan, measure, and manage brand strategies for clients, including support in advertising. We help organizations gain a competitive advantage, define coherent brand communication strategies, reach the target market and expand it.  Location DenmarkWebsite brandiaq.comFounded 2016Employees 1-10Industries Education, Service, Telecommunications, Advertising, Sales & MarketingBusiness model B2B, B2GFunding state Series A",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Find Helpie,Denmark,findhelpie.dk,2020,1-10,Marketplace & eCommerce,Marketplace,Bootstrapping,"Find Helpie is a secure platform and mobile app where Anybody can Register for Free to Post any Task or Work to get done at fair price or Anybody can create Free Profile with their skills and hobby to become a Helpie and create Extra Income. Find Helpie is enabling the community to Connect with  three types of   Services which consists of  General Tasks, Professional Tasks and Quick Tasks.  Location DenmarkWebsite findhelpie.dkFounded 2020Employees 1-10Industries Marketplace & eCommerceBusiness model MarketplaceFunding state Bootstrapping",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W3schools Network AS,Norway,w3schools.com,2020,11-50,"Education, IT & Software","B2C, B2B",Bootstrapping,"Do you want to create simplified and interactive learning experiences? Join us, on our mission here at W3schools. We believe that learning web development should be easy and available for everyone - everywhere!

W3schools is an educational website that teaches coding for free and is a global leading web development platform. We have 65 million monthly visits and 2.75 billion yearly page views.

Visit us: www.w3schools.com   Location NorwayWebsite w3schools.comFounded 2020Employees 11-50Industries Education, IT & SoftwareBusiness model B2C, B2BFunding state Bootstrapping",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Infinite Mobility As,Norway,infinite-m.com,2020,1-10,"Maritime & Transport, Manufacturing","B2C, B2B, B2G",Pre-seed,"We are a Norwegian company, we develop and manufacture light-weight Electric Vehicles powered by solar energy for  Urban Mobility & Last-Mile Delivery. 

Urban Mobility and Last-Mile Delivery are major challenges for cities, responsible for creating traffic congestion noise and air pollution. They account for more than half of the traffic in cities. Our Solar Vehicles are designed for purpose with a minimal space footprint, urban adapted, quite & safer.

Solar PV cells integrated into the body transforms the hassle of being stuck in traffic to an opportunity to freely charge the batteries.   Location NorwayWebsite infinite-m.comFounded 2020Employees 1-10Industries Maritime & Transport, ManufacturingBusiness model B2C, B2B, B2GFunding state Pre-seed",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Work Ahead,Finland,workahead.co,2016,1-10,"IT & Software, SaaS, Service",-,-,"Work Ahead is mission-driven technology startup that helps enterprises survey anonymously workers in their supply chain, focusing on human rights, decent working conditions, and advancing sustainable development. We are located in Helsinki, Finland, and work with customers from Costa Rica to Nepal, from Pakistan to Thailand and beyond.
  Location FinlandWebsite workahead.coFounded 2016Employees 1-10Industries IT & Software, SaaS, ServiceBusiness model -Funding state -",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Plate Hero,Sweden,platehero.co,2020,1-10,"IT & Software, Marketplace & eCommerce, Food & Beverage, Hospitality, Hosting","B2C, B2B, Marketplace",Pre-seed,"Plate Hero is an online community marketplace for homemade meals. Plate Hero allows its customers to buy authentic homemade meals from their local community, all for a price that is affordable. It allows anyone to enter the world of cooking and become a chef, while having their own virtual restaurant and that all for a price that is affordable. Plate Hero features hundreds of unique recipes and cuisines that aren’t usually available in restaurants. 
  Location SwedenWebsite platehero.coFounded 2020Employees 1-10Industries IT & Software, Marketplace & eCommerce, Food & Beverage, Hospitality, HostingBusiness model B2C, B2B, MarketplaceFunding state Pre-seed",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sparly,Sweden,sparly.co,2020,1-10,Fintech,B2B,Bootstrapping,"Sparly is an early-stage fintech startup offering a personal finance management app for young adults. The app is empowered by Open Banking technology, nudging and gamified by rewards from our B2B-partners.

Low financial skills and normalized credit culture is leading to huge indebtedness among young adults. Unpaid debts are leading to anxiety, stress, stigma, and social isolation for the young generation. Our mission is to empower young adults to proactively build financial skills & avoid financial struggles together with B2B-partners. By joining Sparly you will contribute to solving one of the biggest societal challenges of the young generation today.

Sparly is a KTH startup with access to investors, advisors, and a strong community of startups. We are backed by Almi with 500 tSEK soft-funding and senior advisors within tech, banking, and fintech.

We are onboarding our first test users and looking for a star team member to win and onboard our B2B-customers.

Our journey ahead is to become the No.1 personal finance management app in Nordics by 2025.  Location SwedenWebsite sparly.coFounded 2020Employees 1-10Industries FintechBusiness model B2BFunding state Bootstrapping",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Circulaire,Sweden,circulaire.se,2020,1-10,Marketplace & eCommerce,B2B,Pre-seed,"
We’re on the mission to help premium second hand consumers find what they’re looking for, by providing the biggest assortment from the leading luxury retailers. We’ve built a product discovery platform that helps the users finding and comparing assortment easier than ever before. Join our team today!  Location SwedenWebsite circulaire.seFounded 2020Employees 1-10Industries Marketplace & eCommerceBusiness model B2BFunding state Pre-seed",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Female Invest,Denmark,femaleinvest.com,2019,11-50,"Education, Fintech, IT & Software",B2C,Series A,"Female Invest is on a mission to close the financial gender gap. By creating a safe space and a trusted source for knowledge – and soon trading – we are democratizing investing globally. A platform - available through web and mobile app - which integrates learning, community and impact investing into a single universe.

With members across 65+ countries and global ambitions, the time has come to enhance the product and user experience to ensure that we stay a user-centric company that gives everyone equal opportunity to start investing

We are a team of passionate go-getters, seeking to change the world by financially empowering women. We value drive, team spirit and celebration culture, and you will become part of a close-knit team.  Location DenmarkWebsite femaleinvest.comFounded 2019Employees 11-50Industries Education, Fintech, IT & SoftwareBusiness model B2CFunding state Series A",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Julegenser.no,Norway,julegenser.no,2020,1-10,Fashion & Living,B2C,Seed,"A Krismis Story

The julegenser.no project is simply a result of our very first ugly christmas sweater love affair!

After a visit to Canada in 2012, two sumptuous, LED flashing ugly christmas sweaters came with us home to winter Oslo, Norway. The sweaters evoked this childlike happiness over the Christmas celebration, both in us and in everyone else when we wore them to Christmas parties and we noticed that we wanted more of this feeling. We simply wanted more of such sweaters!

It was easier said than done in 2012. But, if you do not find what you are looking for, you can make it yourself...so then we did it. Although it took its time.

With our brand 'Krismis' https://krismis.com, we want to share this sparkling, warm Christmas feeling with you. This way you can also have the Christmas atmosphere in your wardrobe all year round, and always have something to wear at the Christmas party, not matter what. We simply love Christmas sweaters! That is why we do not compromise on quality.

We wish you a Merry Christmas, and remember that the most important message of Christmas is love. 

Huge Christmas hugs from the Julegenser.no / Krismis team.

KRISMIS  Location NorwayWebsite julegenser.noFounded 2020Employees 1-10Industries Fashion & LivingBusiness model B2CFunding state Seed",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Casju,Denmark,casju.dk,2020,1-10,"Consumer Goods, Energy & Greentech, Agriculture, Food & Beverage","B2C, B2B",Bootstrapping,"Casju fights food loss by turning waste from African cashew farmers into delicious plant-based caramels.  

Did you know that the cashew nuts come from a fruit? 
And did you know that in most African countries these perfectly nutritious fruits are getting wasted? 

Casju found a way to process the cashew fruits from the farmers locally and turn them intoy into delicious food ingredients. By doing so, cashew farmer can increase income and create local jobs.   Location DenmarkWebsite casju.dkFounded 2020Employees 1-10Industries Consumer Goods, Energy & Greentech, Agriculture, Food & BeverageBusiness model B2C, B2BFunding state Bootstrapping",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Palofy Analytics,Finland,palofy.com,2018,1-10,"Fintech, IT & Software, SaaS, Travel & Tourism, Sales & Marketing",B2B,Seed,"Palofy Analytics was a customer loyalty and payment processing partner for SMEs. We  help NGOs by developing software that enables them to get card-present donations in Finland. 

Our licensed patented technology leverages existing payment cards as customer loyalty cards, reducing customer friction and removing work overhead from staff.
 
Service areas:
•   Restaurant and hospitality
•   Retail
•   NGO  Location FinlandWebsite palofy.comFounded 2018Employees 1-10Industries Fintech, IT & Software, SaaS, Travel & Tourism, Sales & MarketingBusiness model B2BFunding state Seed",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BookBites,Denmark,bookbites.com,2015,11-50,"Education, Media & Entertainment, IT & Software, SaaS",B2G,Series A,"The most innovative and disruptive e-book platform! Digitized books is two-dimensional, but the thickness of books indicates how long time it takes us to read them. We need this information to stimulate the motivation for reading so BookBites tracks relevant reading stats, thus we can provide the reader with this particular insight as well as progression and development. In a school context we give all this info to the teachers as well, so they can focus on helping the weak readers to read more.  Location DenmarkWebsite bookbites.comFounded 2015Employees 11-50Industries Education, Media & Entertainment, IT & Software, SaaSBusiness model B2GFunding state Series A",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
iRaiser Nordic ApS,"Denmark, Norway",iraiser.eu,2010,51-100,"Media & Entertainment, IT & Software, SaaS",B2B,Series B+,"iRaiser is a SaaS vendor for nonprofits. We work with NGOs, political parties, educational institutes, cultural organizations, religious organizations, and corporate foundations. We provide nonprofits with state-of-the-art software tools that enable them to raise more money, more visibility and more awareness for their causes with less effort.

Since 2012, iRaiser has helped these client organizations raise more than €1.3 billion, becoming the European leader in online fundraising. We work with more than 500 organizations in +18 countries around the world, including UNRWA, UNHCR, WWF, Médecins sans Frontières, Unicef, Salvation Army and Le Louvre.
iRaiser is present in France, Italy, Denmark, Belgium, the United Kingdom and Australia.


  Location Denmark, NorwayWebsite iraiser.euFounded 2010Employees 51-100Industries Media & Entertainment, IT & Software, SaaSBusiness model B2BFunding state Series B+",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Caleta,Denmark,caleta.dk,2017,1-10,"Education, Fintech",B2B,Bootstrapping,"Caleta is an independent research and development company founded in 2017. We conduct research and promote concrete solutions for more inclusive and responsible finance at the global level. Our mission is to empower people by enabling access to financial services. We collaborate with all the stakeholders of the cross-border payments industry to reach this goal, as part of the global efforts towards reaching the Sustainable Development Goals.  Location DenmarkWebsite caleta.dkFounded 2017Employees 1-10Industries Education, FintechBusiness model B2BFunding state Bootstrapping",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BLING Startup,Sweden,blingstartup.se,2022,1-10,"Education, IT & Software, Service, Fashion & Living","B2C, B2B",Pre-seed,"Med BLING Capital ska vi demokratisera tillgången på kapital genom att skifta flödet av investeringar från slutna homogena grupper och traditionella nätverk till entreprenörer som normalt inte nås av riskkapital, som till exempel kvinnor, minoriteter och människor som bor utanför storstadskärnorna. Nu söker vi dig som vill vara med och förändra.

Med BLING Capital siktar vi på att tidigt investera och vara en långsiktig partner i företag som grundats av underrepresenterade entreprenörer i världsklass eller entreprenörer med minoritetsbakgrund som skapar värde för människor och samhälle. Vi värdesätter företag med en hållbar och framåtlutad affärsmodell som angriper stora, globala marknader och löser verkliga problem.

Det övergripande målet för BLING Capital är att skapa stark, hållbar avkastning genom att vara en långsiktig partner som tillför värde till våra portföljbolag.  Location SwedenWebsite blingstartup.seFounded 2022Employees 1-10Industries Education, IT & Software, Service, Fashion & LivingBusiness model B2C, B2BFunding state Pre-seed",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Farmforce,Norway,farmforce.com,2012,11-50,"SaaS, Agriculture",B2B,Series A,"At Farmforce, food’s first mile is our passion. Our SaaS solutions provide organizations with the confidence to secure sustainable sourcing, improve farmers' quality of life and protect the environment. We turn data into tools, which means more vetted acres, more measurable impact on communities, more financial opportunities for farmers, and more clarity for customers. We believe in building a better food supply where it starts. Providing the confidence that comes from knowing the facts about your food sourcing operations in the first mile. 

Farmforce customers span 30 countries across Africa, Asia, Europe, and South America. With over nine years of experience now managing over 700,000 farmers in 45 crop value chains in 15 languages on our platform. A continuous loop of innovation with our customers in the center of food’s first-mile journey. Visit www.farmforce.com.  Location NorwayWebsite farmforce.comFounded 2012Employees 11-50Industries SaaS, AgricultureBusiness model B2BFunding state Series A",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Econans AB,Sweden,econans.se,2018,1-10,"Fintech, IT & Software, SaaS",B2B,Seed,"Econans vision is to give you control over your financial future.It is easy! A successful personal finance requires knowledge, we help you get it. Our service is a tool that forecasts your finances and shows how it can be improved. Smart choices today have a great effect in the long run. We are a B2B platform and striving to be the number one in forecasting personal finances in the world. Join us!  Location SwedenWebsite econans.seFounded 2018Employees 1-10Industries Fintech, IT & Software, SaaSBusiness model B2BFunding state Seed",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Filtr AS,Norway,filtr.no,2021,51-100,"IT & Software, SaaS, Service, Manufacturing, Fashion & Living",B2B,Bootstrapping,"Filtr is a technology-driven image platform and mobile application, working out of Oslo Science Park in Norway. 

We facilitate and streamline the production and publishing of images, in close collaboration with our clients - which include some of the largest names in fashion, e-commerce and automotive in Scandinavia.

We are committed to creating a friendly and inclusive working environment collaborating with companies and partners worldwide.

The two technologies that drive the company are: 

- 3sixtyfactory (soon to be Filtr) - Our ordering and delivery platform for images - https://3sixtyfactory.com/ 

- Autopix - Our innovative car photography app - https://autopix.no/
  Location NorwayWebsite filtr.noFounded 2021Employees 51-100Industries IT & Software, SaaS, Service, Manufacturing, Fashion & LivingBusiness model B2BFunding state Bootstrapping",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
riskrate,Finland,riskrate.io,2018,1-10,"Fintech, SaaS",B2B,Seed,"Get insights on how your customer buys and pays, 
how you spend your money and predict how the future cash flow looks like.

riskrate works in sync with tools you already use and analyzes a wealth of unit economics, using over 80 000 companies' business data, millions of invoices, and superior machine learning models to deliver accurate insights on your money flow.

8 min to sign up, instantly get insights.  No manual work, no hidden costs, no set up fees, no integration project. We think that knowing future money flow should be a basic right for every company.  Location FinlandWebsite riskrate.ioFounded 2018Employees 1-10Industries Fintech, SaaSBusiness model B2BFunding state Seed",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Social Bites,Denmark,socialbites-ea.com,2018,11-50,"Consumer Goods, Retail, Food & Beverage, Sales & Marketing",B2C,Seed,"Social Bites manufactures and sells frozen dairy products in Kenya, East Africa. It is a company of 35 full-time employees and 200+ sellers working from the three largest cities in Kenya - Mombasa, Kisumu and Nairobi. The production headquarters are in Nairobi, Kenya, where the production of frozen flavored milk and frozen yogurt products takes place. 

The company operates a distribution model where it engages youth to become sellers of its products in the market. The sellers are offered an attractive commission-based salary with performance incentives as they retail the products in the major cities in East Africa. All new sellers go through our training academy that provides vital business training, setting them up for success with the product. Our ambition is to develop thousands of meaningful jobs in East Africa with this unique distribution concept. International investors back Social Bites and the company is run out of  Copenhagen, Denmark.
  Location DenmarkWebsite socialbites-ea.comFounded 2018Employees 11-50Industries Consumer Goods, Retail, Food & Beverage, Sales & MarketingBusiness model B2CFunding state Seed",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coffee Beanies ApS,Denmark,coffeebeanies.dk,2018,1-10,Fashion & Living,B2B,Bootstrapping,We fight the good war of poverty in Africa. So far we are represented in the medium-highend fashion shop in most cities in Denmark. We sell handmade eco-alpaca wool fashion beanies and sweaters at affordable prices. This way we help the poorest people in the world to provide for themselves by knittingjobs.    Location DenmarkWebsite coffeebeanies.dkFounded 2018Employees 1-10Industries Fashion & LivingBusiness model B2BFunding state Bootstrapping,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
