id,studyid,study_author,study_year,domain,substudy_author,substudy_year,outcome,treatment,n,d,r,source,n_win,study_name
35,1,Ditto et al.,2019,Partisan bias,MacCoun & Paletz -Sample 1,2009,Partisan bias,Content,156,NA,0.012,Table 1,156,Ditto et al. (2019)
36,1,Ditto et al.,2019,Partisan bias,MacCoun & Paletz -Sample 2,2009,Partisan bias,Content,148,NA,0.29,Table 1,148,Ditto et al. (2019)
37,1,Ditto et al.,2019,Partisan bias,MacCoun & Paletz -Sample 3,2009,Partisan bias,Content,134,NA,0.562,Table 1,134,Ditto et al. (2019)
38,1,Ditto et al.,2019,Partisan bias,MacCoun & Paletz -Sample 4,2009,Partisan bias,Content,171,NA,0.237,Table 1,171,Ditto et al. (2019)
39,1,Ditto et al.,2019,Partisan bias,Malka & Lelkes,2010,Partisan bias,Source,322,NA,0.233,Table 1,322,Ditto et al. (2019)
40,1,Ditto et al.,2019,Partisan bias,Mullinix,2016,Partisan bias,Source,759,NA,0.495,Table 1,759,Ditto et al. (2019)
41,1,Ditto et al.,2019,Partisan bias,Munro & Munro,2014,Partisan bias,Content,106,NA,0.08,Table 1,106,Ditto et al. (2019)
42,1,Ditto et al.,2019,Partisan bias,Nawara,2011,Partisan bias,Source,158,NA,0.019,Table 1,158,Ditto et al. (2019)
43,1,Ditto et al.,2019,Partisan bias,Scurich & Shniderman -Study 1,2014,Partisan bias,Content,125,NA,0.223,Table 1,125,Ditto et al. (2019)
44,1,Ditto et al.,2019,Partisan bias,Scurich and Shniderman -Study 2,2014,Partisan bias,Content,128,NA,0.349,Table 1,128,Ditto et al. (2019)
45,1,Ditto et al.,2019,Partisan bias,B. K. Smith,2014,Partisan bias,Source,179,NA,0.042,Table 1,179,Ditto et al. (2019)
46,1,Ditto et al.,2019,Partisan bias,"C. T. Smith, Ratliff, & Nosek -Study 1",2012,Partisan bias,Source,559,NA,0.238,Table 1,559,Ditto et al. (2019)
47,1,Ditto et al.,2019,Partisan bias,"C. T. Smith, Ratliff, & Nosek -Study 2",2012,Partisan bias,Source,509,NA,0.209,Table 1,509,Ditto et al. (2019)
48,1,Ditto et al.,2019,Partisan bias,"Tannenbaum, Fox, & Rogers -Study 1",2014,Partisan bias,Source,238,NA,0.104,Table 1,238,Ditto et al. (2019)
49,1,Ditto et al.,2019,Partisan bias,"Tannenbaum, Fox, & Rogers -Study 2",2014,Partisan bias,Content,366,NA,0.147,Table 1,366,Ditto et al. (2019)
50,1,Ditto et al.,2019,Partisan bias,"Tannenbaum, Fox, & Rogers -Study 3",2014,Partisan bias,Content,88,NA,0.199,Table 1,88,Ditto et al. (2019)
51,1,Ditto et al.,2019,Partisan bias,"Tannenbaum, Fox, & Rogers -Study 4",2014,Partisan bias,Content,30,NA,0.389,Table 1,41,Ditto et al. (2019)
52,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.06,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
53,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.06,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
54,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.33,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
55,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.16,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
56,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.06,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
57,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.22,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
58,2,Aarøe et al.,2017,Opposition to immigration,Navarrete & Fessler,2006,Opposition to immigration,Perceived vulnerability to disease – PVD,90,NA,0.23,Replication material (Replication Data Meta-Analysis Excel Format.xls),90,Aarøe et al. (2017)
59,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.13,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
60,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.21,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
61,2,Aarøe et al.,2017,Opposition to immigration,Terrizzi Jr. et al,2010,Opposition to immigration,"Full DS, DS2 or DS-R",146,NA,0.15,Replication material (Replication Data Meta-Analysis Excel Format.xls),146,Aarøe et al. (2017)
62,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,86,NA,0.38,Replication material (Replication Data Meta-Analysis Excel Format.xls),86,Aarøe et al. (2017)
63,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.3,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
64,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.36,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
65,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al.,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.53,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
66,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.14,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
67,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,45,NA,0.24,Replication material (Replication Data Meta-Analysis Excel Format.xls),45,Aarøe et al. (2017)
68,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Interpersonal disgust,103,NA,0.25,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
69,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Perceived vulnerability to disease – PVD,103,NA,0,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
70,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,82,NA,0.31,Replication material (Replication Data Meta-Analysis Excel Format.xls),82,Aarøe et al. (2017)
71,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Interpersonal disgust,103,NA,0.14,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
72,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Perceived vulnerability to disease – PVD,103,NA,0.03,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
73,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Interpersonal disgust,103,NA,0.25,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
74,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Perceived vulnerability to disease – PVD,103,NA,0.08,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
75,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,52,NA,0.24,Replication material (Replication Data Meta-Analysis Excel Format.xls),52,Aarøe et al. (2017)
76,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,52,NA,0.05,Replication material (Replication Data Meta-Analysis Excel Format.xls),52,Aarøe et al. (2017)
77,2,Aarøe et al.,2017,Opposition to immigration,Choma et al,2012,Opposition to immigration,Intergroup disgust (ITG-DS),225,NA,0.43,Replication material (Replication Data Meta-Analysis Excel Format.xls),225,Aarøe et al. (2017)
78,2,Aarøe et al.,2017,Opposition to immigration,Choma et al,2012,Opposition to immigration,Core disgust,225,NA,0.08,Replication material (Replication Data Meta-Analysis Excel Format.xls),225,Aarøe et al. (2017)
79,2,Aarøe et al.,2017,Opposition to immigration,Choma et al,2012,Opposition to immigration,Contamination disgust from the DS-R,225,NA,0.08,Replication material (Replication Data Meta-Analysis Excel Format.xls),225,Aarøe et al. (2017)
80,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.25,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
81,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.34,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
82,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Interpersonal disgust,103,NA,0.33,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
83,2,Aarøe et al.,2017,Opposition to immigration,Hodson & Costello,2007,Opposition to immigration,Perceived vulnerability to disease – PVD,103,NA,0.14,Replication material (Replication Data Meta-Analysis Excel Format.xls),103,Aarøe et al. (2017)
84,2,Aarøe et al.,2017,Opposition to immigration,"Navarrete, Fessler & Eng",2007,Opposition to immigration,Other,206,NA,0.13,Replication material (Replication Data Meta-Analysis Excel Format.xls),206,Aarøe et al. (2017)
85,2,Aarøe et al.,2017,Opposition to immigration,Navarrete & Fessler,2006,Opposition to immigration,"Full DS, DS2 or DS-R",126,NA,0.24,Replication material (Replication Data Meta-Analysis Excel Format.xls),126,Aarøe et al. (2017)
86,2,Aarøe et al.,2017,Opposition to immigration,Duncan et al,2009,Opposition to immigration,Germ aversion,47,NA,0.48,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
87,2,Aarøe et al.,2017,Opposition to immigration,Duncan et al,2009,Opposition to immigration,Perceived infectability,47,NA,0.03,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
88,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,86,NA,0.22,Replication material (Replication Data Meta-Analysis Excel Format.xls),86,Aarøe et al. (2017)
89,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.38,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
90,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.25,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
91,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.22,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
92,2,Aarøe et al.,2017,Opposition to immigration,Faulkner et al,2004,Opposition to immigration,Perceived vulnerability to disease – PVD,47,NA,0.29,Replication material (Replication Data Meta-Analysis Excel Format.xls),47,Aarøe et al. (2017)
93,2,Aarøe et al.,2017,Opposition to immigration,Green et al,2010,Opposition to immigration,Germ aversion,331,NA,0.14,Replication material (Replication Data Meta-Analysis Excel Format.xls),331,Aarøe et al. (2017)
94,2,Aarøe et al.,2017,Opposition to immigration,Green et al,2010,Opposition to immigration,Other,331,NA,0.1,Replication material (Replication Data Meta-Analysis Excel Format.xls),331,Aarøe et al. (2017)
95,2,Aarøe et al.,2017,Opposition to immigration,Green et al,2010,Opposition to immigration,Germ aversion,412,NA,0.19,Replication material (Replication Data Meta-Analysis Excel Format.xls),412,Aarøe et al. (2017)
96,2,Aarøe et al.,2017,Opposition to immigration,Green et al,2010,Opposition to immigration,Other,412,NA,0.07,Replication material (Replication Data Meta-Analysis Excel Format.xls),412,Aarøe et al. (2017)
97,2,Aarøe et al.,2017,Opposition to immigration,Green et al,2010,Opposition to immigration,Germ aversion,412,NA,0.23,Replication material (Replication Data Meta-Analysis Excel Format.xls),412,Aarøe et al. (2017)
98,2,Aarøe et al.,2017,Opposition to immigration,Green et al,2010,Opposition to immigration,Other,412,NA,0.21,Replication material (Replication Data Meta-Analysis Excel Format.xls),412,Aarøe et al. (2017)
99,3,D’Alessio and Allen,2000,Partisan media bias,Millspaugh,1949,Partisan media bias,Party,NA,0.302,0.14930741460103533,Table 1,NA,D’Alessio and Allen (2000)
100,3,D’Alessio and Allen,2000,Partisan media bias,Berelson et al.,1954,Partisan media bias,Party,NA,0.167,0.08321042194369076,Table 1,NA,D’Alessio and Allen (2000)
101,3,D’Alessio and Allen,2000,Partisan media bias,Klein & Maccoby,1954,Partisan media bias,Party,NA,0.078,0.03897037429124693,Table 1,NA,D’Alessio and Allen (2000)
102,3,D’Alessio and Allen,2000,Partisan media bias,Klein & Maccoby,1954,Partisan media bias,Party,NA,0.084,0.041963004937279474,Table 1,NA,D’Alessio and Allen (2000)
103,3,D’Alessio and Allen,2000,Partisan media bias,Klein & Maccoby,1954,Partisan media bias,Party,NA,0.568,0.27319616932338936,Table 1,NA,D’Alessio and Allen (2000)
104,3,D’Alessio and Allen,2000,Partisan media bias,Batlin,1954,Partisan media bias,Party,NA,0.195,0.09703984846248681,Table 1,NA,D’Alessio and Allen (2000)
105,3,D’Alessio and Allen,2000,Partisan media bias,Higbie,1954,Partisan media bias,Party,NA,0.304,0.15027394809827285,Table 1,NA,D’Alessio and Allen (2000)
106,3,D’Alessio and Allen,2000,Partisan media bias,Higbie,1954,Partisan media bias,Party,NA,0.006,0.002999986500091125,Table 1,NA,D’Alessio and Allen (2000)
107,3,D’Alessio and Allen,2000,Partisan media bias,Blumberg,1954,Partisan media bias,Party,NA,0.066,0.03298204616246679,Table 1,NA,D’Alessio and Allen (2000)
108,3,D’Alessio and Allen,2000,Partisan media bias,Blumberg,1954,Partisan media bias,Party,NA,0.048,0.023993090984551452,Table 1,NA,D’Alessio and Allen (2000)
109,3,D’Alessio and Allen,2000,Partisan media bias,Blumberg,1954,Partisan media bias,Party,NA,0.018,0.00899963552214188,Table 1,NA,D’Alessio and Allen (2000)
110,3,D’Alessio and Allen,2000,Partisan media bias,Kobre,1953,Partisan media bias,Party,NA,0.07,0.034978582175618625,Table 1,NA,D’Alessio and Allen (2000)
111,3,D’Alessio and Allen,2000,Partisan media bias,Kobre,1953,Partisan media bias,Party,NA,0.022,0.010999334560388036,Table 1,NA,D’Alessio and Allen (2000)
112,3,D’Alessio and Allen,2000,Partisan media bias,Kobre,1953,Partisan media bias,Party,NA,0.016,0.007999744012287344,Table 1,NA,D’Alessio and Allen (2000)
113,3,D’Alessio and Allen,2000,Partisan media bias,Nollet,1968,Partisan media bias,Party,NA,0.052,0.025991216453007546,Table 1,NA,D’Alessio and Allen (2000)
114,3,D’Alessio and Allen,2000,Partisan media bias,Price,1954,Partisan media bias,Party,NA,0.072,0.03597669465035493,Table 1,NA,D’Alessio and Allen (2000)
115,3,D’Alessio and Allen,2000,Partisan media bias,Price,1954,Partisan media bias,Party,NA,0.096,0.047944799368398225,Table 1,NA,D’Alessio and Allen (2000)
116,3,D’Alessio and Allen,2000,Partisan media bias,Repass & Chaffee,1968,Partisan media bias,Party,NA,0.128,0.06386932928370219,Table 1,NA,D’Alessio and Allen (2000)
117,3,D’Alessio and Allen,2000,Partisan media bias,Nollet,1968,Partisan media bias,Party,NA,0.094,0.0469481743463633,Table 1,NA,D’Alessio and Allen (2000)
118,3,D’Alessio and Allen,2000,Partisan media bias,Westley et al.,1963,Partisan media bias,Party,NA,0.13,0.06486312108268012,Table 1,NA,D’Alessio and Allen (2000)
119,3,D’Alessio and Allen,2000,Partisan media bias,Westley et al.,1963,Partisan media bias,Party,NA,0.074,0.036974699474353154,Table 1,NA,D’Alessio and Allen (2000)
120,3,D’Alessio and Allen,2000,Partisan media bias,Stempel,1961,Partisan media bias,Party,NA,0.022,0.010999334560388036,Table 1,NA,D’Alessio and Allen (2000)
121,3,D’Alessio and Allen,2000,Partisan media bias,Stempel,1961,Partisan media bias,Party,NA,0.004,0.0019999960000120004,Table 1,NA,D’Alessio and Allen (2000)
122,3,D’Alessio and Allen,2000,Partisan media bias,Nollet,1968,Partisan media bias,Party,NA,0.184,0.09161311025113641,Table 1,NA,D’Alessio and Allen (2000)
123,3,D’Alessio and Allen,2000,Partisan media bias,Danielson & Adams,1961,Partisan media bias,Party,NA,0.064,0.031983628572184196,Table 1,NA,D’Alessio and Allen (2000)
124,3,D’Alessio and Allen,2000,Partisan media bias,Repass & Chaffee,1968,Partisan media bias,Party,NA,0.018,0.00899963552214188,Table 1,NA,D’Alessio and Allen (2000)
125,3,D’Alessio and Allen,2000,Partisan media bias,Stempel,1965,Partisan media bias,Party,NA,0.038,0.018996571428257877,Table 1,NA,D’Alessio and Allen (2000)
126,3,D’Alessio and Allen,2000,Partisan media bias,Stempel,1965,Partisan media bias,Party,NA,0.038,0.018996571428257877,Table 1,NA,D’Alessio and Allen (2000)
127,3,D’Alessio and Allen,2000,Partisan media bias,Nollet,1968,Partisan media bias,Party,NA,0.008,0.0039999680003839945,Table 1,NA,D’Alessio and Allen (2000)
128,3,D’Alessio and Allen,2000,Partisan media bias,Stempel,1969,Partisan media bias,Party,NA,0.05,0.024992191160203066,Table 1,NA,D’Alessio and Allen (2000)
129,3,D’Alessio and Allen,2000,Partisan media bias,Stempel,1969,Partisan media bias,Party,NA,0.06,0.029986509105671005,Table 1,NA,D’Alessio and Allen (2000)
130,3,D’Alessio and Allen,2000,Partisan media bias,Graber,1971,Partisan media bias,Party,NA,0.229,0.1137567385129231,Table 1,NA,D’Alessio and Allen (2000)
131,3,D’Alessio and Allen,2000,Partisan media bias,Stevenson et al.,1973,Partisan media bias,Party,NA,0.134,0.06685012291035211,Table 1,NA,D’Alessio and Allen (2000)
132,3,D’Alessio and Allen,2000,Partisan media bias,Evarts & Stempel,1974,Partisan media bias,Party,NA,0.11,0.05491700075713547,Table 1,NA,D’Alessio and Allen (2000)
133,3,D’Alessio and Allen,2000,Partisan media bias,Stevenson et al.,1973,Partisan media bias,Party,NA,0.044,0.021994677931832844,Table 1,NA,D’Alessio and Allen (2000)
134,3,D’Alessio and Allen,2000,Partisan media bias,Doll & Bradley,1974,Partisan media bias,Party,NA,0.022,0.010999334560388036,Table 1,NA,D’Alessio and Allen (2000)
135,3,D’Alessio and Allen,2000,Partisan media bias,Doll & Bradley,1974,Partisan media bias,Party,NA,0,0,Table 1,NA,D’Alessio and Allen (2000)
136,3,D’Alessio and Allen,2000,Partisan media bias,Malaney & Buss,1979,Partisan media bias,Party,NA,0.058,0.028987813186294255,Table 1,NA,D’Alessio and Allen (2000)
137,3,D’Alessio and Allen,2000,Partisan media bias,Malaney & Buss,1979,Partisan media bias,Party,NA,0.098,0.04894128121671798,Table 1,NA,D’Alessio and Allen (2000)
138,3,D’Alessio and Allen,2000,Partisan media bias,Malaney & Buss,1979,Partisan media bias,Party,NA,0.25,0.12403473458920847,Table 1,NA,D’Alessio and Allen (2000)
139,3,D’Alessio and Allen,2000,Partisan media bias,Lowry,1974,Partisan media bias,Party,NA,0.19,0.09457419252642066,Table 1,NA,D’Alessio and Allen (2000)
140,3,D’Alessio and Allen,2000,Partisan media bias,Lowry,1974,Partisan media bias,Party,NA,0.078,0.03897037429124693,Table 1,NA,D’Alessio and Allen (2000)
141,3,D’Alessio and Allen,2000,Partisan media bias,Lowry,1974,Partisan media bias,Party,NA,0.5,0.24253562503633297,Table 1,NA,D’Alessio and Allen (2000)
142,3,D’Alessio and Allen,2000,Partisan media bias,Frank,1973,Partisan media bias,Party,NA,0.341,0.1680745169573563,Table 1,NA,D’Alessio and Allen (2000)
143,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter & Zukin,1979,Partisan media bias,Party,NA,0.078,0.03897037429124693,Table 1,NA,D’Alessio and Allen (2000)
144,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter & Zukin,1979,Partisan media bias,Party,NA,0.299,0.14785681231781447,Table 1,NA,D’Alessio and Allen (2000)
145,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter,1978,Partisan media bias,Party,NA,0.156,0.07776380123021058,Table 1,NA,D’Alessio and Allen (2000)
146,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter,1978,Partisan media bias,Party,NA,0.18,0.08963769949589058,Table 1,NA,D’Alessio and Allen (2000)
147,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter,1978,Partisan media bias,Party,NA,0.205,0.10196576066015635,Table 1,NA,D’Alessio and Allen (2000)
148,3,D’Alessio and Allen,2000,Partisan media bias,Meadow,1973,Partisan media bias,Party,NA,0.226,0.11228538792508821,Table 1,NA,D’Alessio and Allen (2000)
149,3,D’Alessio and Allen,2000,Partisan media bias,Woodard,1994,Partisan media bias,Party,NA,0.046,0.02299391891256511,Table 1,NA,D’Alessio and Allen (2000)
150,3,D’Alessio and Allen,2000,Partisan media bias,Evarts & Stempel,1974,Partisan media bias,Party,NA,0.097,0.04844305837353735,Table 1,NA,D’Alessio and Allen (2000)
151,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter,1978,Partisan media bias,Party,NA,0.036,0.017997084708396737,Table 1,NA,D’Alessio and Allen (2000)
152,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter,1978,Partisan media bias,Party,NA,0.184,0.09161311025113641,Table 1,NA,D’Alessio and Allen (2000)
153,3,D’Alessio and Allen,2000,Partisan media bias,Hofstetter,1978,Partisan media bias,Party,NA,0.066,0.03298204616246679,Table 1,NA,D’Alessio and Allen (2000)
154,3,D’Alessio and Allen,2000,Partisan media bias,Meadow,1973,Partisan media bias,Party,NA,0.226,0.11228538792508821,Table 1,NA,D’Alessio and Allen (2000)
155,3,D’Alessio and Allen,2000,Partisan media bias,Graber,1976,Partisan media bias,Party,NA,0.328,0.16183804255165737,Table 1,NA,D’Alessio and Allen (2000)
